iter	Logloss
0	0.6917407492
1	0.690769689
2	0.6895025291
3	0.6884133907
4	0.6872719681
5	0.6859682678
6	0.6848462058
7	0.6832029513
8	0.6820565164
9	0.6810274306
10	0.6798027983
11	0.6787227834
12	0.6775510962
13	0.6765046096
14	0.675162416
15	0.6743565163
16	0.6730815385
17	0.6718463491
18	0.6710878619
19	0.6700373914
20	0.6690958508
21	0.668097239
22	0.6669791661
23	0.6654261719
24	0.6643277255
25	0.6632495971
26	0.6620094569
27	0.6610888193
28	0.6598922403
29	0.6584130716
30	0.6575157837
31	0.6562391562
32	0.6552825101
33	0.654116727234	0.6529481574
35	0.6519951469
36	0.6507503021
37	0.6494338914
38	0.6484828438
39	0.6472101472
40	0.6459895999
41	0.6449929813
42	0.6439435769
43	0.6428960293
44	0.6419264138
45	0.6406776964
46	0.6396845792
47	0.6386091267
48	0.6378029617
49	0.6365579578
50	0.6353770397
551	0.638415384
52	0.6373947863
53	0.632504321
54	0.6315536448
55	0.6305877429
56	0.6293869305
57	0.6285686699
58	0.6275141196
559	0.6308749086
60	0.629972562
61	0.6293097942
62	0.6284849552
63	0.6275073821
64	0.6266312427
65	0.6256712294
66	0.62485498467	0.6183609429
68	0.6171216685
69	0.6159353922
70	0.6150509768
71	0.6140149413
72	0.6127719003
73	0.6119023392
74	0.611149809
75	0.6103434318
76	0.6095889917
77	0.6086734883
78	0.6078286491
79	0.6066504366
80	0.6058822031
81	0.6047683947
82	0.60382859383	0.6037164847
84	0.6027310104
85	0.6019363761
86	0.6008609071
87	0.5999873944
88	0.5990168128
89	0.598295684890	0.6010369904
91	0.6000650937
92	0.5992887435
93	0.5984252833
94	0.5976161475
95	95	0.5911229545
96	0.5902333931
97	0.5894376798	0.5893156251
99	0.5929909378
100	0.5920872649
101	0.5913406233
102	0.5904464465
103	0.589739381
104	0.5890209096
105	0.5882634986
1106	0.5821644478
107	0.5812433847
108	0.5801890847
109	0.5794384371
110	0.5784638133
111	0.5777010388
112	0.5766576424
113	0.5760396998
114	0.5753504848
115	0.5745858487
116	0.5737426002
117	0.5730364181
118	0.5721919462
119	0.5713830042
120	0.5704542819
121	0.569269564
122	0.5680738893
123	0.5673038812
124	0.5665839233
125	0.5654763817
126	0.5647060544
127	0.5640493375
128	0.5632736914
129	0.5625323518
130	0.5618739861
131	0.5610703629
132	0.5603955088
133	0.5594624783
134	0.5587841137
135	0.5580721341
136	0.5573032961
137	0.5562767072
138	0.5556217987
139	0.5549850140	0.5613858334
141	0.560756647
142	0142	0.5528503651
143	0.5522531128
144	0.5514619889
145	0.5509499976
146	0.5498509662
147	0.5493172208
148	0.5487452149	0.5466395823
150	0.5458872112
151	0.5451539385
152	0.5445420998
153	0.5437355104
154	0.5427521016
155	0.5421207932
156	0.5413663
157	0.540497853
158	0.539796411
159	0.5391879676
160	0.5383393087
161	0.5377266742
162	0.5370815725
163	0.536441882
164	0.5357667533
165	0.5351270628
166	0.5344116152
167	0.533724497
168	0.5330173254
169	0.5324947718
170	0.5317174667
171	0.5310964501
172	0.5301761191
173	0.529610541
174	0.5289747233
175	0.5283296215
176	0.5274972493
177	0.52670944
178	0.526077548
179	0.5252922321
180	0.5247046378
181	0.5238663239
182	0.5231233959
183	0.5224737317
184	0.5217171165
185	0.5210199186
186	0.5201911008
187	0.5193032901
188	0.5185557997
189	0.5181128228
190	0.517509207
191	0.5168437337
192	0.5162920019
193	0.5156371918
194	0.5150014801
195	0.5141277811
196	0.5136403473
197	0.5128386917
198	0.5120821826
199	0.5114522004
200	0.5109756421
200	0.5200837232
