iter	Passed	Remaining
0	8	8211
1	20	10014
2	23	7941
3	31	7848
4	39	7952
5	42	6986
6	43	6218
7	51	6341
8	59	6503
9	65	6490
10	71	6408
11	76	6283
12	81	6188
13	89	6308
14	97	6403
15	104	6409
16	109	6328
17	113	6192
18	117	6053
19	129	6321
20	136	6357
21	143	6364
22	145	6201
23	154	6298
24	155	6080
25	161	6035
26	167	6030
27	170	5928
28	172	5784
29	175	5681
30	181	5660
31	190	5771
32	199	5854
33	205	5848
34	212	5845
35	217	5831
36	222	5779
37	225	5712
38	232	5721
39	239	5739
40	245	5745
41	250	5713
42	255	5681
43	261	5672
44	265	5642
45	271	5625
46	274	5571
47	278	5523
48	282	5480
49	286	5437
50	292	5447
51	298	5447
52	302	5409
53	305	5352
54	308	5301
55	312	5268
56	320	5305
57	324	5271
58	331	5294
59	336	5271
60	343	5281
61	350	5309
62	361	5374
63	365	5350
64	373	5371
65	377	5343
66	378	5276
67	381	5231
68	390	5264
69	391	5198
7070	427	5596
71	432	5569
72	437	5555
73	441	5527474	449	5548
75	450	5482
76	454	5450
77	461	5452
78	466	5437979	472	5438080	482	5473
81	488	5469
82	494	5463
83	501	5471
84	509	5484
85	516	5490
86	518	5440
87	525	5448
88	535	5483
89	546	5527
90	555	5550
91	563	5563
92	568	5548
93	576	5556
94	580	5528
95	587	5530
96	587	5473
97	592	5451
98	597	5438
99	601	5415
100	607	5408
101	614	5406
102	622	5420
103	629	5421
104	632	5394
105	642	5419
106	646	5397
107	655	5411
108	660	5402
109	664	5374
110	669	5361
111	675	5356
112	679	5332
113	684	5321
114	689	5305
115	696	5308
116	699	5279
117	705	5272
118	708	5248
119	712	5227
120	719	5225
121	724	5212
122	735	5245
123	742	5245
124	746	5227
125	751	5215
126	755	519127	727	4956
128	734	4959
129	740	4957
130	744	4936
13131	779	51213132	783	51013133	790	51013134	797	511135	773	4912
136	776	4894
137	782	4886
138	790	4894
139	797	4901
140	803	4893
141	808	4883
142	813	4877
143	821	4884
144	823	4853
145	828	4843
14146	862	50014147	866	49914148	871	49714149	874	495150	851	4788
15151	886	49415152	893	494153	867	4766
15154	902	49215155	908	49115156	913	4904
157	921	4913
158	927	4908
159	934	4904
160	938	4889
161	943	4880
162	951	4886
163	955	4868
164	959	485165	931	4681
166	936	4670
167	942	4665
16168	980	48216169	985	48117170	993	4814
171	996	47917172	1002	47173173	1009	4793
174	1014	4782
175	1020	4778
176	1024	4765
177	1031	4763
178	1040	4772
179	1047	4772
180	1054	4771
181	1058	4758
182	1063	4749
183	1068	4738
184	1078	4751
185	1080	4729
186	1087	4726
187	1090	4711
188	1095	4700
189	1105	4714
190	1111	4707
191	1114	4691
192	1120	4686
193	1124	4672
194	1129	4661
195	1135	4656
196	1140	4650
197	1147	4648
198	1155	4649
199	1158	4632
200	1167	4641
201	1178	4656
202	1189	4670
203	1197	4672
204	1208	4688
205	1212	4673
206	1216	4662
207	1223	4659
208	1239	4689
209	1250	4703
210	1257	4703
211	1267	4710
212	1272	4703
213	1282	4710
214	1291	4716
215	1310	4755
216	1316	4749
217	1323	4748
218	1332	4750
219	1342	4761
220	1346	4747
221	1356	4754
222	1363	4751
223	1367	4737
224	1371	4723
225	1375	4711
226	1379	4698
227	1387	4698
228	1392	4686
229	1395	4672
230	1404	4676
231	1411	4674
232	1419	4673
233	1425	4667
234	1426	4645
235	1435	4648
236	1439	4633
237	1449	4639
238	1459	4646
239	1464	4636
240	1470	4630
241	1475	4622
242	1485	4626
243	1492	4625
244	1497	4613
245	1498	4592
246	1504	4585
247	1505	4566
248	1515	4571
249	1521	4563
250	1528	4562
251	1533	4552
252	1539	4546
253	1547	4543
254	1552	4536
255	1558	4528
256	1566	4529
257	1569	4512
258	1576	4509
259	1583	4505
260	1588	4496
261	1592	4486
262	1598	4479
263	1601	4464
264	1606	4456
265	1610	4444
266	1616	4437
267	1620	4426
268	1625	4417
269	1633	4415
270	1641	4414
271	1646	4407
272	1655	4408
273	1660	4399
274	1666	4393
275	1672	4386
276	1678	4381
277	1685	4376
278	1689	4367
279	1698	4367
280	1705	4364
281	1710	4354
282	1713	4340
283	1720	4337
284	1725	4327
285	1732	4326
286	1738	4319
287	1744	4312
288	1750	4306
289	1755	4297
290	1762	4293
291	1765	4281
292	1772	4277
293	1774	4260
294	1782	4260
295	1786	4249
296	1797	4253
297	1803	4248
298	1814	4253
299	1818	4242
300	1827	4244
301	1835	4242
302	1843	4241
303	1852	4242
304	1861	4241
305	1868	4237
306	1873	4229
307	1883	4231
308	1889	4225
309	1896	4221
310	1906	4223
311	1914	4222
312	1919	4212
313	1924	4203
314	1929	4195
315	1940	4199
316	1944	4189
317	1948	4178
318	1951	4165
319	1957	4160
320	1962	4151
321	1969	4145
322	1971	4132
323	1980	4132
324	1986	4126
325	1992	4119
326	2003	4122
327	2007	4113
328	2017	4114
329	2027	4116
330	2037	4118
331	2040	4104
332	2046	4099
333	2056	4100
334	2063	4096
335	2067	4086
336	2074	4080
337	2080	4074
338	2091	4077
339	2100	4078
340	2107	4072
341	2108	4057
342	2113	4048
343	2120	4044
344	2124	4033
345	2128	4023
346	2135	4018
347	2139	4009
348	2144	4000
349	2150	3994
350	2155	3985
351	2160	3977
352	2167	3972
353	2173	3965
354	2174	3950
355	356	2152	3356	357	2162	3878
358	2171	3877
359	2176	3868
360	2181	3862
361	2186	3361	362	2198	3362	363	2204	3363	364	2209	3364	2246	3908
365	2253	3903
366	2256	3892
367	2262	3884
368	2268	3878
369	2276	3876
370	2279	3865
371	2286	3859
372	373	2258	3373	2294	3840
374	2298	3831
375	2305	3826
376	2311	3820
377	378	2285	3378	379	2295	3379	380	2301	3380	381	2312	3740
382	2321	3739
383	2327	3733
384	2333	3727
385	2340	3722
386	2345	3715
387	2351	3709
388	2357	3702
389	2360	3692
390	2366	3685
391	2374	3682
392	2386	3686
393	2389	3675
394	2397	3672
395	2402	3664
396	2409	3659
397	2417	3656
398	2423	3650
